t,E,N
0.0,0.0,0.0
5.02,0.7039162245898493,0.3801341194357237
7.54,1.387343463845285,-0.035711054449573953
8.21,2.055209637746622,-0.4761140219218533
9.0,2.3889472196593937,-1.203176073207035
10.72,1.7704448333111964,-1.7105761107332313
11.44,1.0794094436732813,-2.1136518979841834
13.95,0.5310259088282129,-1.5311782945386474
14.67,0.20332842820362146,-0.8013739637812206
17.34,0.852223591858283,-0.33346898775981726
18.07,1.586642385103088,-0.016248187482085674
18.81,2.247197930193226,0.43504592044607093
22.05,2.9541944786247383,0.06067193563151696
22.73,3.51376967488171,-0.5110584201604171
23.4,3.908053500701238,-1.207147685051865
24.05,4.283334023308157,-1.9136634522870186
24.64,4.784327846713069,-2.5373662572431357
25.25,5.35357004986699,-3.099472398597658
25.88,6.106461237305222,-3.3699439495560695
26.52,6.905705965565944,-3.4046982924134066
27.1,7.705651105759186,-3.4140669999664777
27.69,8.501241170550182,-3.497950543083456
28.28,9.295379711938041,-3.5946147923298164
28.87,10.095137668690654,-3.6142924601511717
29.44,10.894889339715704,-3.634223960160965
30.0,11.687621073969321,-3.7418176286886804
30.57,12.464485940588963,-3.932817573746387
31.14,13.248134455550517,-4.093736823677992
31.72,14.047917030751307,-4.112387089230873
32.29,14.83233129895817,-3.9552430284665756
32.86,15.615763329624663,-3.793273113587996
33.46,16.34401230943422,-3.46213353062284
34.04,17.00828604511501,-3.016330430493772
34.64,17.625248911047162,-2.5070595575187054
35.22,18.158882526203165,-1.911043479903734
35.84,18.660589459290893,-1.2879141568160568
36.44,19.081367079692118,-0.6075126619841567
37.03,19.293178747247186,0.16393780142068293
37.61,19.2752754131648,0.9637374454745763
38.2,19.14790009891098,1.7535320575850548
38.76,18.933753763040126,2.5243377054841134
39.32,18.79048107540998,3.3114037363730304
39.89,18.75450609949628,4.110594452728025
40.47,18.78156450317268,4.9101367235245625
41.06,18.58460876017668,5.68551304203119
41.64,18.323834310112225,6.441817667293777
42.23,18.062340300832247,7.19787380483297
42.83,17.902647082336475,7.9817730815047
43.42,17.638017656715803,8.736737495961219
44.01,17.40873585676316,9.503177223670107
44.61,17.038659027876605,10.212432566068932
45.2,16.649681765687617,10.911501010142873
45.8,16.146343951154048,11.533313718649678
46.42,15.683745263443853,12.186002353550583
47.02,15.136511731901,12.769556517236472
47.65,14.902957308243494,12.957844411669463
48.34,14.604476617764139,12.987998638752364
49.05,14.310241913448715,12.929467119240096
49.69,14.024715063922269,12.837410516003272
50.32,13.72511232459818,12.852844199604496
50.92,13.42776423228356,12.892645104077333
51.55,13.296073503027998,13.162195752060487
52.19,13.134659470164104,13.415070246611863
52.91,12.937709187355324,13.641367807583125
53.5,12.703594838353427,13.828959042963186
54.17,12.412399248887642,13.901105620676024
54.91,12.114050640411893,13.869671438316935
55.68,11.828179751265104,13.960654045107596
56.37,11.695074496108482,14.229509007958741
57.03,11.8125073927164,14.505569716489083
57.69,12.070618809141282,14.658470000043891
58.28,12.359487221791372,14.739433202630108
58.92,12.659371976849535,14.731118535847502
59.51,12.952452066823612,14.667055591325836
60.12,13.244149666446665,14.596966288474768
60.78,13.539422497371525,14.54391956079418
61.41,13.838465951079836,14.519981875145694
62.02,14.138230034318573,14.531877017012865
62.67,14.43194782402255,14.592949596878219
63.35,14.720426053936285,14.675292239936596
63.96,15.000614034584379,14.782505557674382
64.73,15.293182356493663,14.848866517697465
65.51,15.59296974822199,14.860158982473909
66.21,15.837024503142311,14.685696159497832
66.87,15.96259680475434,14.413241397990792
67.49,16.108050861249662,14.15086167802552
68.09,16.29075966628568,13.912917372436354
68.67,16.90371098216079,13.398825275271875
69.22,17.243583099924816,12.674610567076442
69.79,17.627424130181765,11.972708819328735
70.35,17.968555600111806,11.249086459099747
70.93,18.45291178232615,10.612376879502625
71.5,18.873310970153813,9.931741497764472
72.06,19.35905424999246,9.296089496987637
72.65,19.733229405909945,8.588987699016421
73.23,20.261284616730126,7.988023728111631
73.83,20.558856703579277,7.2454263586520815
74.43,20.932785782506077,6.538194399579985
77.97,21.459365511356715,5.935937154572846
78.66,21.707887746672295,5.175518389316657
79.26,22.059767688486854,4.4570613575126785
79.84,22.133322573846616,3.6604499849854517
80.39,21.981305944374473,2.875025931136877
80.99,21.553133977351532,2.1992532129425815
81.58,20.87900083925258,1.768504432193454
82.15,20.088848333099428,1.643368438091457
82.73,19.291095000544924,1.703281878972316
83.31,18.49947835724988,1.81879417294265
